,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
46400,46,45,1021,1022,2,2,45,46,2,45,46,2,45,46,2,45,46,2,45,46,2,45,46,0,0,1,0,1,0
46429,46,52,1021,950,2,2,52,46,2,52,46,2,52,46,2,52,46,2,52,46,2,52,46,0,1,0,0,0,0
46458,28,51,1385,986,2,2,28,51,2,28,51,2,28,51,2,28,51,2,28,51,2,28,51,1,0,1,1,0,1
46487,35,51,1225,986,2,2,51,35,2,51,35,2,51,35,2,51,35,2,51,35,2,51,35,0,0,1,0,1,0
46516,50,47,996,1024,2,2,47,50,2,47,50,2,47,50,2,47,50,2,47,50,2,47,50,1,0,1,0,1,1
46545,67,50,816,996,2,2,50,67,2,50,67,2,50,67,2,50,67,2,50,67,2,50,67,0,0,0,0,1,0
46574,8,50,3635,996,3,3,8,50,3,8,50,3,8,50,3,8,50,3,8,50,3,8,50,1,0,0,1,0,0
46603,50,211,996,277,3,3,50,211,3,50,211,3,50,211,3,50,211,3,50,211,3,50,211,0,0,1,0,0,0
46632,43,91,1080,622,3,3,91,43,3,91,43,3,91,43,3,91,43,3,91,43,3,91,43,0,1,1,0,1,1
46661,50,34,1000,1245,3,3,34,50,3,34,50,3,34,50,3,34,50,3,34,50,3,34,50,1,1,0,1,1,0
46690,82,50,691,1000,3,3,50,82,3,50,82,3,50,82,3,50,82,3,50,82,3,50,82,1,0,1,1,0,0
46719,81,50,714,1000,3,3,50,81,3,50,81,3,50,81,3,50,81,3,50,81,3,50,81,0,1,1,0,0,0
46748,49,110,1010,515,3,3,110,49,3,110,49,3,110,49,3,110,49,3,110,49,3,110,49,0,0,1,0,0,0
46777,50,32,1045,1395,1,1,32,50,1,32,50,1,32,50,1,32,50,1,32,50,1,32,50,0,1,1,0,0,1
46806,51,49,1020,1045,1,1,49,51,1,49,51,1,49,51,1,49,51,1,49,51,1,49,51,1,1,0,1,1,0
46835,30,130,1440,455,2,2,30,130,2,30,130,2,30,130,2,30,130,2,30,130,2,30,130,0,0,1,0,0,1
46864,23,29,1757,1430,2,2,23,29,2,23,29,2,23,29,2,23,29,2,23,29,2,23,29,1,1,1,0,1,1
46893,31,32,1295,1287,2,2,32,31,2,32,31,2,32,31,2,32,31,2,32,31,2,32,31,1,1,1,1,1,1
46922,56,31,910,1295,2,2,31,56,2,31,56,2,31,56,2,31,56,2,31,56,2,31,56,1,1,0,1,1,0
46951,74,31,740,1295,2,2,31,74,2,31,74,2,31,74,2,31,74,2,31,74,2,31,74,1,0,1,1,0,1
46980,23,31,1630,1295,2,2,31,23,2,31,23,2,31,23,2,31,23,2,31,23,2,31,23,0,0,1,0,1,0
47009,171,31,333,1295,2,2,171,31,2,171,31,2,171,31,2,171,31,2,171,31,2,171,31,1,0,0,1,0,1
47038,101,31,588,1295,2,2,31,101,2,31,101,2,31,101,2,31,101,2,31,101,2,31,101,0,0,1,0,1,1
